CAPS   CARLOS MARIO CASAGRANDE,ENTRE RÍOS,50300492142199,GUALEGUAY,GUALEGUAY,2840
CAPS   RUPERTO GONZALEZ,ENTRE RÍOS,50300492142419,EL PUEBLITO,GUALEGUAY,3151
CAPS   CARLOS ROCCA,ENTRE RÍOS,50300492142201,MONTE REDONDO,GUALEGUAY,2840
CAPS  ARTURO ILLIA,ENTRE RÍOS,50300772142172,CRUCESITAS 3° SECCIÓN,NOGOYÁ,3151
C.A.P.S.  GOBERNADOR LAURENCENA,ENTRE RÍOS,50300772142268,ARANGUREN,NOGOYÁ,3162
CAPS  FARM. JUAN H. GHIANO,ENTRE RÍOS,50300772142285,BETBEDER,NOGOYÁ,3156
CAPS  SERAFIN GUILLANI,ENTRE RÍOS,50300772142375,DON CRISTOBAL,NOGOYÁ,3192
CAPS  LUISA WEBER,ENTRE RÍOS,50300772142300,CRUCESITAS 8° SECCIÓN,NOGOYÁ,3177
CAPS   DR. PEDRO CAMET,ENTRE RÍOS,50300772142248,XX DE SETIEMBRE,NOGOYÁ,3158
CAPS   MADRE TERESA,ENTRE RÍOS,50300772142301,DISTRITO EL SAUCE,NOGOYÁ,3150
CAPS   ALEJANDRO FLEMING,ENTRE RÍOS,50301052142159,RINCON DE NOGOYA,VICTORIA,3155
CAPS HELENA DE ZABINSKY,ENTRE RÍOS,50301052142166,ANTELO,VICTORIA,3151
CAPS   DON CARLOS VIVANCO,ENTRE RÍOS,50301052242217,DISTRITO CHILCAS,VICTORIA,3162
CAPS   SIDNEY REES,ENTRE RÍOS,50301052142498,RINCON DE NOGOYA,VICTORIA,3155
CAPS   DR. CARLOS M. TOFALO,ENTRE RÍOS,50301132142227,LUCAS NORTE,VILLAGUAY,3241
CONSULTORIO MEDICO CENTRO INTEGRAL DE TRAUMATOLOGIA,ENTRE RÍOS,50300152342403,CONCORDIA,CONCORDIA,3200
CONSULTORIO ODONTOLOGICO CENTRO ODONTOLOGICO CONCORDIA,ENTRE RÍOS,50300152342411,CONCORDIA,CONCORDIA,3200
HOSPITAL FELIPE HERAS,ENTRE RÍOS,10300152142040,CONCORDIA,CONCORDIA,3200
INSTITUTO BIOQUIMICO CONCORDIA FERNANDEZ TITO   LABORATORIO ANALISIS CLINICOS,ENTRE RÍOS,51300152342525,CONCORDIA,CONCORDIA,3200
INSTITUTO MEDICO QUIRURGICO GARAT S.A.,ENTRE RÍOS,10300152342087,CONCORDIA,CONCORDIA,3200
YOYA NORMA Y COSTA ALICIA  LABORATORIO DE ANALISIS CLINICOS,ENTRE RÍOS,51300152342547,CONCORDIA,CONCORDIA,3200
GARRERA LABORATORIO DE ANALISIS CLINICOS,ENTRE RÍOS,51300152342552,CONCORDIA,CONCORDIA,3200
TOLOMEI  LABORATORIO DE ANALISIS CLINICOS,ENTRE RÍOS,51300152342553,CONCORDIA,CONCORDIA,3200
LITVIN GRACIELA BEATRIZ LABORATORIO DE ANALISIS CLINICOS,ENTRE RÍOS,51300152342562,CONCORDIA,CONCORDIA,3200
LABORATORIO BIOQUIMICO CONCORDIA SRL,ENTRE RÍOS,51300152342565,CONCORDIA,CONCORDIA,3200
SELDES ISAAC  LABORATORIO DE ANALISIS CLINICOS,ENTRE RÍOS,51300152342572,CONCORDIA,CONCORDIA,3200
SALA DE DIAGNOSTICO POR IMAGENES CENTRO DE ECODIAGNOSTICO,ENTRE RÍOS,51300842342519,PARANA,PARANÁ,3100
CENTRO MEDICO CON QUIROFANO ANEXO PARA CIRUGIA MAYOR AMBULATORIA CENTRO DE ESPECIALIDADES MEDICAS,ENTRE RÍOS,10300842342001,PARANA,PARANÁ,3100
HOSPITAL ESCUELA DE SALUD MENTAL,ENTRE RÍOS,13300842142128,PARANA,PARANÁ,3100
C.A.P.S.  DR. ARTURO HUMBERTO ILLIA,ENTRE RÍOS,10300842242031,PARANA,PARANÁ,3100
CENTRO REGIONAL DE REFERENCIA HOSPITAL DR. GERARDO DOMAGK,ENTRE RÍOS,10300842142035,PARANA,PARANÁ,3100
HOSPITAL DR. PASCUAL PALMA,ENTRE RÍOS,10300842142036,PARANA,PARANÁ,3100
INSTITUTO DE TRAUMATOLOGIA Y ENFERMEDADES OSEAS S.R.L.- ITEO S.R.L.,ENTRE RÍOS,14300842342139,PARANA,PARANÁ,3100
